Gene,Cancer Type,Source,Study,level
NFATC4,HNSC,IntOGen,"HNSC_Broad,HNSC_TCGA",C
NR4A2,HNSC,IntOGen,"HNSC_Broad,HNSC_TCGA",C
NUP107,HNSC,IntOGen,"HNSC_Broad,HNSC_TCGA",C
PABPC3,HNSC,IntOGen,"HNSC_Broad,HNSC_TCGA",C
PCDH18,HNSC,IntOGen,"HNSC_Broad,HNSC_TCGA",C
PIK3R3,HNSC,IntOGen,"HNSC_Broad,HNSC_TCGA",C
POLR2B,HNSC,IntOGen,"HNSC_Broad,HNSC_TCGA",C
PPP2R5C,HNSC,IntOGen,"HNSC_Broad,HNSC_TCGA",C
PRPF8,HNSC,IntOGen,"HNSC_Broad,HNSC_TCGA",C
RAD21,HNSC,IntOGen,"HNSC_Broad,HNSC_TCGA",C
RASGRP1,HNSC,IntOGen,"HNSC_Broad,HNSC_TCGA",C
SEC24D,HNSC,IntOGen,"HNSC_Broad,HNSC_TCGA",C
SIN3A,HNSC,IntOGen,"HNSC_Broad,HNSC_TCGA",C
SMC1A,HNSC,IntOGen,"HNSC_Broad,HNSC_TCGA",C
SOX9,HNSC,IntOGen,"HNSC_Broad,HNSC_TCGA",C
SPTAN1,HNSC,IntOGen,"HNSC_Broad,HNSC_TCGA",C
STIP1,HNSC,IntOGen,"HNSC_Broad,HNSC_TCGA",C
TAOK1,HNSC,IntOGen,"HNSC_Broad,HNSC_TCGA",C
TAOK2,HNSC,IntOGen,"HNSC_Broad,HNSC_TCGA",C
TBX3,HNSC,IntOGen,"HNSC_Broad,HNSC_TCGA",C
TCF4,HNSC,IntOGen,"HNSC_Broad,HNSC_TCGA",C
TFDP1,HNSC,IntOGen,"HNSC_Broad,HNSC_TCGA",C
TFDP2,HNSC,IntOGen,"HNSC_Broad,HNSC_TCGA",C
TJP2,HNSC,IntOGen,"HNSC_Broad,HNSC_TCGA",C
TRIO,HNSC,IntOGen,"HNSC_Broad,HNSC_TCGA",C
TRIP10,HNSC,IntOGen,"HNSC_Broad,HNSC_TCGA",C
ZC3H11A,HNSC,IntOGen,"HNSC_Broad,HNSC_TCGA",C
ACTG1,KIRC,IntOGen,KIRC_TCGA,A
AKT1,KIRC,IntOGen,KIRC_TCGA,A
ARID1A,KIRC,IntOGen,KIRC_TCGA,A
ARID2,KIRC,IntOGen,KIRC_TCGA,A
ATM,KIRC,IntOGen,KIRC_TCGA,A
BAP1,KIRC,IntOGen,KIRC_TCGA,A
CDH1,KIRC,IntOGen,KIRC_TCGA,A
CNOT4,KIRC,IntOGen,KIRC_TCGA,A
CTCF,KIRC,IntOGen,KIRC_TCGA,A
DDX5,KIRC,IntOGen,KIRC_TCGA,A
EEF1A1,KIRC,IntOGen,KIRC_TCGA,A
EGFR,KIRC,IntOGen,KIRC_TCGA,A
IDH1,KIRC,IntOGen,KIRC_TCGA,A
KDM5C,KIRC,IntOGen,KIRC_TCGA,A
KDM6A,KIRC,IntOGen,KIRC_TCGA,A
KEAP1,KIRC,IntOGen,KIRC_TCGA,A
MLL3,KIRC,IntOGen,KIRC_TCGA,A
MTOR,KIRC,IntOGen,KIRC_TCGA,A
NFE2L2,KIRC,IntOGen,KIRC_TCGA,A
PABPC1,KIRC,IntOGen,KIRC_TCGA,A
PBRM1,KIRC,IntOGen,KIRC_TCGA,A
PHF6,KIRC,IntOGen,KIRC_TCGA,A
PIK3R1,KIRC,IntOGen,KIRC_TCGA,A
PTEN,KIRC,IntOGen,KIRC_TCGA,A
RASA1,KIRC,IntOGen,KIRC_TCGA,A
RPL22,KIRC,IntOGen,KIRC_TCGA,A
RPL5,KIRC,IntOGen,KIRC_TCGA,A
SETD2,KIRC,IntOGen,KIRC_TCGA,A
SMAD2,KIRC,IntOGen,KIRC_TCGA,A
SOX9,KIRC,IntOGen,KIRC_TCGA,A
TBL1XR1,KIRC,IntOGen,KIRC_TCGA,A
VHL,KIRC,IntOGen,KIRC_TCGA,A
WT1,KIRC,IntOGen,KIRC_TCGA,A
ARHGAP26,KIRC,IntOGen,KIRC_TCGA,B
ATF1,KIRC,IntOGen,KIRC_TCGA,B
BCOR,KIRC,IntOGen,KIRC_TCGA,B
CDC73,KIRC,IntOGen,KIRC_TCGA,B
CHEK2,KIRC,IntOGen,KIRC_TCGA,B
CLTC,KIRC,IntOGen,KIRC_TCGA,B
DICER1,KIRC,IntOGen,KIRC_TCGA,B
EIF4A2,KIRC,IntOGen,KIRC_TCGA,B
EZH2,KIRC,IntOGen,KIRC_TCGA,B
FAM123B,KIRC,IntOGen,KIRC_TCGA,B
FLT3,KIRC,IntOGen,KIRC_TCGA,B
FUS,KIRC,IntOGen,KIRC_TCGA,B
HLF,KIRC,IntOGen,KIRC_TCGA,B
HSP90AB1,KIRC,IntOGen,KIRC_TCGA,B
LCP1,KIRC,IntOGen,KIRC_TCGA,B
LPHN2,KIRC,IntOGen,KIRC_TCGA,B
MET,KIRC,IntOGen,KIRC_TCGA,B
MGA,KIRC,IntOGen,KIRC_TCGA,B
MKL1,KIRC,IntOGen,KIRC_TCGA,B
NCOR1,KIRC,IntOGen,KIRC_TCGA,B
NUP98,KIRC,IntOGen,KIRC_TCGA,B
PPP2R1A,KIRC,IntOGen,KIRC_TCGA,B
SRGAP3,KIRC,IntOGen,KIRC_TCGA,B
TCF12,KIRC,IntOGen,KIRC_TCGA,B
WHSC1L1,KIRC,IntOGen,KIRC_TCGA,B
ZNF814,KIRC,IntOGen,KIRC_TCGA,B
ACO1,KIRC,IntOGen,KIRC_TCGA,C
AHR,KIRC,IntOGen,KIRC_TCGA,C
ARID1B,KIRC,IntOGen,KIRC_TCGA,C
ASH1L,KIRC,IntOGen,KIRC_TCGA,C
BCLAF1,KIRC,IntOGen,KIRC_TCGA,C
BMPR2,KIRC,IntOGen,KIRC_TCGA,C
CAD,KIRC,IntOGen,KIRC_TCGA,C
CAT,KIRC,IntOGen,KIRC_TCGA,C
CCAR1,KIRC,IntOGen,KIRC_TCGA,C
CNOT3,KIRC,IntOGen,KIRC_TCGA,C
COPS2,KIRC,IntOGen,KIRC_TCGA,C
CSDA,KIRC,IntOGen,KIRC_TCGA,C
CUL1,KIRC,IntOGen,KIRC_TCGA,C
DDX3X,KIRC,IntOGen,KIRC_TCGA,C
DHX15,KIRC,IntOGen,KIRC_TCGA,C
DIS3,KIRC,IntOGen,KIRC_TCGA,C
EIF2AK3,KIRC,IntOGen,KIRC_TCGA,C
EIF2C3,KIRC,IntOGen,KIRC_TCGA,C
EIF4G1,KIRC,IntOGen,KIRC_TCGA,C
ELF1,KIRC,IntOGen,KIRC_TCGA,C
ERBB2IP,KIRC,IntOGen,KIRC_TCGA,C
FMR1,KIRC,IntOGen,KIRC_TCGA,C
G3BP2,KIRC,IntOGen,KIRC_TCGA,C
HDAC9,KIRC,IntOGen,KIRC_TCGA,C
HNRPDL,KIRC,IntOGen,KIRC_TCGA,C
ITSN1,KIRC,IntOGen,KIRC_TCGA,C
LRP6,KIRC,IntOGen,KIRC_TCGA,C
MAX,KIRC,IntOGen,KIRC_TCGA,C
MED17,KIRC,IntOGen,KIRC_TCGA,C
MED24,KIRC,IntOGen,KIRC_TCGA,C
NTN4,KIRC,IntOGen,KIRC_TCGA,C
PCDH18,KIRC,IntOGen,KIRC_TCGA,C
PCSK6,KIRC,IntOGen,KIRC_TCGA,C
PIP5K1A,KIRC,IntOGen,KIRC_TCGA,C
PSMA6,KIRC,IntOGen,KIRC_TCGA,C
PSME3,KIRC,IntOGen,KIRC_TCGA,C
SEC24D,KIRC,IntOGen,KIRC_TCGA,C
SHMT1,KIRC,IntOGen,KIRC_TCGA,C
SIN3A,KIRC,IntOGen,KIRC_TCGA,C
SMC1A,KIRC,IntOGen,KIRC_TCGA,C
TAOK2,KIRC,IntOGen,KIRC_TCGA,C
TJP1,KIRC,IntOGen,KIRC_TCGA,C
TJP2,KIRC,IntOGen,KIRC_TCGA,C
TP53BP1,KIRC,IntOGen,KIRC_TCGA,C
TRIO,KIRC,IntOGen,KIRC_TCGA,C
ZFP36L2,KIRC,IntOGen,KIRC_TCGA,C
CEBPA,LAML,IntOGen,LAML_TCGA,A
CHD4,LAML,IntOGen,LAML_TCGA,A
DNMT3A,LAML,IntOGen,LAML_TCGA,A
EGFR,LAML,IntOGen,LAML_TCGA,A
FLT3,LAML,IntOGen,LAML_TCGA,A
IDH1,LAML,IntOGen,LAML_TCGA,A
IDH2,LAML,IntOGen,LAML_TCGA,A
KDM6A,LAML,IntOGen,LAML_TCGA,A
KIT,LAML,IntOGen,LAML_TCGA,A
KRAS,LAML,IntOGen,LAML_TCGA,A
NF1,LAML,IntOGen,LAML_TCGA,A
NPM1,LAML,IntOGen,LAML_TCGA,A
NRAS,LAML,IntOGen,LAML_TCGA,A
PHF6,LAML,IntOGen,LAML_TCGA,A
PTPN11,LAML,IntOGen,LAML_TCGA,A
RUNX1,LAML,IntOGen,LAML_TCGA,A
STAG2,LAML,IntOGen,LAML_TCGA,A
TET2,LAML,IntOGen,LAML_TCGA,A
TP53,LAML,IntOGen,LAML_TCGA,A
U2AF1,LAML,IntOGen,LAML_TCGA,A
WT1,LAML,IntOGen,LAML_TCGA,A
ASXL1,LAML,IntOGen,LAML_TCGA,B
BCOR,LAML,IntOGen,LAML_TCGA,B
CBFB,LAML,IntOGen,LAML_TCGA,B
EZH2,LAML,IntOGen,LAML_TCGA,B
MED12,LAML,IntOGen,LAML_TCGA,B
SUZ12,LAML,IntOGen,LAML_TCGA,B
THRAP3,LAML,IntOGen,LAML_TCGA,B
CUL1,LAML,IntOGen,LAML_TCGA,C
DIS3,LAML,IntOGen,LAML_TCGA,C
PRPF8,LAML,IntOGen,LAML_TCGA,C
RAD21,LAML,IntOGen,LAML_TCGA,C
ARID1A,LGG,IntOGen,LGG_TCGA,A
ARID2,LGG,IntOGen,LGG_TCGA,A
ATRX,LGG,IntOGen,LGG_TCGA,A
CIC,LGG,IntOGen,LGG_TCGA,A
EGFR,LGG,IntOGen,LGG_TCGA,A
EIF1AX,LGG,IntOGen,LGG_TCGA,A
FAT1,LGG,IntOGen,LGG_TCGA,A
FRG1B*,LGG,IntOGen,LGG_TCGA,A
FUBP1,LGG,IntOGen,LGG_TCGA,A
IDH1,LGG,IntOGen,LGG_TCGA,A
IDH2,LGG,IntOGen,LGG_TCGA,A
MLL2,LGG,IntOGen,LGG_TCGA,A
MTOR,LGG,IntOGen,LGG_TCGA,A
NF1,LGG,IntOGen,LGG_TCGA,A
PIK3CA,LGG,IntOGen,LGG_TCGA,A
PIK3R1,LGG,IntOGen,LGG_TCGA,A
PTEN,LGG,IntOGen,LGG_TCGA,A
RASA1,LGG,IntOGen,LGG_TCGA,A
RB1,LGG,IntOGen,LGG_TCGA,A
SETD2,LGG,IntOGen,LGG_TCGA,A
TP53,LGG,IntOGen,LGG_TCGA,A
ARHGAP26,LGG,IntOGen,LGG_TCGA,B
CDK12,LGG,IntOGen,LGG_TCGA,B
CHEK2,LGG,IntOGen,LGG_TCGA,B
FAM123B,LGG,IntOGen,LGG_TCGA,B
KAT6B,LGG,IntOGen,LGG_TCGA,B
MECOM,LGG,IntOGen,LGG_TCGA,B
MET,LGG,IntOGen,LGG_TCGA,B
MLL,LGG,IntOGen,LGG_TCGA,B
NCOR1,LGG,IntOGen,LGG_TCGA,B
NF2,LGG,IntOGen,LGG_TCGA,B
NOTCH1,LGG,IntOGen,LGG_TCGA,B
PTPN11,LGG,IntOGen,LGG_TCGA,B
SMARCA4,LGG,IntOGen,LGG_TCGA,B
TCF12,LGG,IntOGen,LGG_TCGA,B
ZMYM2,LGG,IntOGen,LGG_TCGA,B
ZNF814,LGG,IntOGen,LGG_TCGA,B
ACO1,LGG,IntOGen,LGG_TCGA,C
ARFGEF2,LGG,IntOGen,LGG_TCGA,C
ARHGEF6,LGG,IntOGen,LGG_TCGA,C
ARID1B,LGG,IntOGen,LGG_TCGA,C
CAD,LGG,IntOGen,LGG_TCGA,C
DDX3X,LGG,IntOGen,LGG_TCGA,C
EEF1B2,LGG,IntOGen,LGG_TCGA,C
HGF,LGG,IntOGen,LGG_TCGA,C
MAX,LGG,IntOGen,LGG_TCGA,C
NEDD4L,LGG,IntOGen,LGG_TCGA,C
TAF1,LGG,IntOGen,LGG_TCGA,C
TJP1,LGG,IntOGen,LGG_TCGA,C
TRIO,LGG,IntOGen,LGG_TCGA,C
ZNF292,LGG,IntOGen,LGG_TCGA,C
ACVR2A,LIHC,IntOGen,"LIV_FR,LIV_ICGC",A
APC,LIHC,IntOGen,"LIV_FR,LIV_ICGC",A
ARID1A,LIHC,IntOGen,"LIV_FR,LIV_ICGC",A
ARID2,LIHC,IntOGen,"LIV_FR,LIV_ICGC",A
ATRX,LIHC,IntOGen,"LIV_FR,LIV_ICGC",A
CTNNB1,LIHC,IntOGen,"LIV_FR,LIV_ICGC",A
IDH1,LIHC,IntOGen,"LIV_FR,LIV_ICGC",A
MLL3,LIHC,IntOGen,"LIV_FR,LIV_ICGC",A
NF1,LIHC,IntOGen,"LIV_FR,LIV_ICGC",A
NFE2L2,LIHC,IntOGen,"LIV_FR,LIV_ICGC",A
PBRM1,LIHC,IntOGen,"LIV_FR,LIV_ICGC",A
PIK3CA,LIHC,IntOGen,"LIV_FR,LIV_ICGC",A
PTEN,LIHC,IntOGen,"LIV_FR,LIV_ICGC",A
TBL1XR1,LIHC,IntOGen,"LIV_FR,LIV_ICGC",A
TP53,LIHC,IntOGen,"LIV_FR,LIV_ICGC",A
BLM,LIHC,IntOGen,"LIV_FR,LIV_ICGC",B
FLT3,LIHC,IntOGen,"LIV_FR,LIV_ICGC",B
SF3B1,LIHC,IntOGen,"LIV_FR,LIV_ICGC",B
ARHGAP35,LIHC,IntOGen,"LIV_FR,LIV_ICGC",C
ARID1B,LIHC,IntOGen,"LIV_FR,LIV_ICGC",C
ASH1L,LIHC,IntOGen,"LIV_FR,LIV_ICGC",C
BPTF,LIHC,IntOGen,"LIV_FR,LIV_ICGC",C
CEP290,LIHC,IntOGen,"LIV_FR,LIV_ICGC",C
CNOT1,LIHC,IntOGen,"LIV_FR,LIV_ICGC",C
ITSN1,LIHC,IntOGen,"LIV_FR,LIV_ICGC",C
MACF1,LIHC,IntOGen,"LIV_FR,LIV_ICGC",C
MYH10,LIHC,IntOGen,"LIV_FR,LIV_ICGC",C
NFATC4,LIHC,IntOGen,"LIV_FR,LIV_ICGC",C
RTN4,LIHC,IntOGen,"LIV_FR,LIV_ICGC",C
SETDB1,LIHC,IntOGen,"LIV_FR,LIV_ICGC",C
ACTG1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
ACVR2A,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
AKT1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
ARID1A,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
BAP1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
BRAF,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
CASP8,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
CDH1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
CDKN1B,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
CDKN2A,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
CIC,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
CNOT4,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
CTCF,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
CTNNB1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
DDX5,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
DNMT3A,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
EGFR,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
FAT1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
FBXW7,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
FUBP1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
IDH1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
KDM6A,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
KEAP1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
KRAS,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
MAP2K1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
MAP2K4,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
MAP3K1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
MGA,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
MLL3,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
NF1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
NFE2L2,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
NPM1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
NRAS,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
PBRM1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
PHF6,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
PIK3R1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
PTEN,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
RASA1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
RB1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
RBM10,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
SETD2,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
SMAD2,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
SMAD4,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
SMARCA4,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
STK11,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
TBL1XR1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
TP53,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
U2AF1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",A
AFF4,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
ARHGAP26,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
ATIC,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
BLM,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
CDK12,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
CHEK2,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
COL1A1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
CREBBP,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
CYLD,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
EIF4A2,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
EP300,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
ERCC2,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
EZH2,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
FGFR2,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
HSP90AA1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
HSP90AB1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
KDR,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
KLF6,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
LCP1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
LPHN2,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
MEN1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
MET,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
MKL1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
MLH1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
MLL,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
MYB,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
NF2,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
NUP98,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
PAX5,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
PPP2R1A,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
PRRX1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
PTPN11,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
SF3B1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
SFPQ,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
TCF12,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
TCF7L2,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
TGFBR2,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
ZMYM2,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",B
ACAD8,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
ACO1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
ACTG2,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
ACVR1B,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
ADAM10,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
ARFGAP1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
ATP6AP2,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
BAZ2B,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
BMPR2,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
BRWD1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
CAPN7,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
CARM1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
CAT,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
CCAR1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
CCT5,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
CHD1L,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
CLASP2,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
CLSPN,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
CNOT3,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
COPS2,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
CRNKL1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
CSNK1G3,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
CUL2,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
CUL3,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
DDX3X,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
DHX15,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
EEF1B2,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
EFTUD2,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
EIF2AK3,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
EIF2C3,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
EIF4G1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
EPHA4,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
EPHB2,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
ERBB2IP,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
FMR1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
FN1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
FXR1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
G3BP1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
G3BP2,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
GNAI1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
GNG2,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
GPSM2,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
HLA-A,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
HSPA8,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
IREB2,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
IRS2,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
LDHA,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
MAP3K4,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
MAP4K1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
MAP4K3,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
MAX,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
MED17,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
MED24,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
MMP2,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
MSR1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
MYH10,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
NCK1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
NCKAP1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
NEDD4L,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
NTN4,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
NTRK2,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
NUP107,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
PCSK6,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
PIK3R3,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
PIP5K1A,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
POLR2B,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
PPP2R5A,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
PRPF8,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
PSMA6,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
PSMD11,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
PTGS1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
RAD23B,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
RBM5,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
RHEB,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
RTN4,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
SETDB1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
SHMT1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
SIN3A,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
SMC1A,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
SOX9,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
SPRR3,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
STAG1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
STIP1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
STK4,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
SVEP1,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
SYNCRIP,LUAD,IntOGen,"LUAD_TCGA,LUNG_TSP",C
